@001
tài           líng          nīng          yùn           é             běng          fān           gé            
rēng          zàn           kē            lèng          duò           dīng          guàng         zēi           
guài          xie            chǎng         kou            ěng           cuǐ           cuān          wǎn           
mian           kuǎng         kāi           jǐn           gěi           tao            shēn          ǎng           
nǖē          téi           jīng          shǔn          ha             suī           xiǒng         guī           
@004
zang           mēn           mīng          lǖě          tǎn           nǐ            huǎ           chu            
pián          dén           pò            rui            juán          qiòng         chǎi          nēng          
sǎ            piàn          xiōng         gei            suǒ           hǎo           chóu          hen            
dèng          shàng         wèn           tā            xū            min            jūn           lòng          
yīng          ō             bīng          zù            wō            fang           ting           mín           
niáng         cǔn           cóu           rú            nián          quàn          huāi          sēng          
lìn           kēng          juǎn          chǒng         miāo          shan           dàn           tǐ            
zhǎ           yǒng          biē           zhōng         wàng          zùn           cún           miáo          
diǔ           shuai          chan           jìng          hòu           zōu           kēn           nūn           
nǐn           fou            òu            suǎn          nè            rí            nái           jùn           
ruì           fō            léng          dong           kě            zhen           róu           lé            
qiōng         nǔ            chuǎi         jun            rē            zèi           ā             mài           
qiū           zheng          qiá           pang           yìng          jié           tiāo          zōng          
an             shài          pù            cai            ó             qia            mào           zǎ            
sang           kuì           lái           sú            niě           tuàn          wang           sāng          
miě           zhèi          pǎn           hào           liān          càng          ning           pǔ            
chuó          xiǎn          qiē           dà            qū            shuǎ          shōu          tān           
gái           n              gua            bu             huà           zhěng         màng          māo           
tǎ            móu           tie            nǖé          fēng          chuō          tiě           chuo           
zuan           le             ràn           mǎn           lān           guái          niu            xún           
@005
zhǒu          ráng          shuǒ          shù           yǔn           dǎi           ou             qiā           
kà            zēn           pín           géi           ta             jiā           tǒu           zǔn           
ēn            liū           chì           shéi          nóu           tui            máo           cú            
wó            lǎ            gùn           nōu           wēn           lè            hua            yī            
lōu           jiu            sàng          guà           luān          pí            chuī          tǒng          
jī            jué           kuai           jiè           shāng         neng           zhǒng         gòu           
zhūn          ěr            liang          káng          huí           zhěn          nuó           jǔ            
cèng          nuán          zhuǐ          shāi          chuáng        háo           liē           xián          
shen           hōng          lǐ            sì            zhe            yūn           méi           dāng          
cěi           chāng         sóng          yang           kāo           yǐng          rōu           huāng         
lian           bàn           pi             xuán          gan            yó            qūn           jie            
miu            míng          níng          séng          cà            těng          tié           che            
shóu          xūn           biān          liáo          diu            die            měng          zhà           
chěn          hōu           kān           piao           shùn          qiàng         nié           cǔ            
hēn           hǎ            nàng          fei            la             guáng         pǐ            rǐ            
tī            liù           liá           ling           chào          mi             gún           tāo           
chī           chǔn          diū           lì            yóu           jín           chuǎn         fà            
cha            yàng          gú            bì            cuō           su             kuǒ           dē            
shuǐ          dóng          wāi           pan            xiáng         qiǎng         dǎo           xìng          
lǒu           chí           tei            zhǎo          ang            gu             yíng          biǎn          
@006
hǎn           tong           zhěi          shun           eng            quan           ceng           zuǎn          
dàng          sēn           dēn           pǒu           liǎo          tùn           chùn          i              
yuán          duǐ           tòu           wù            qiè           xiàng         dǎn           mì            
tèng          sūn           zuí           zá            nài           miē           àng           kàng          
zhuǎi         kong           she            guì           gōu           án            té            sàn           
he             zhuǒ          cǎo           liāng         sou            fu             dào           lū            
jiá           lě            jū            kòng          kuó           kuāng         cān           rǔ            
niang          mō            fán           xi             tǐng          chǎn          gōng          dě            
juān          zhēng         hēi           cěng          zhou           èng           du             qí            
chǔ           kuān          tuō           ci             tiǎn          xiáo          tiǎo          nùn           
hu             tè            yā            wai            wěi           gēi           quān          yīn           
kēi           wǎi           zhài          zǎn           làn           yá            niáo          zhuǎ          
tāi           bǎng          kǔ            pen            niǎo          bán           kǎng          kuái          
céng          qiǎ           jiú           sóu           xiè/          pā            ǎ             gài           
shuāng        zan            dā            keng           dī            sě            yao            sao            
chāo          kuang          kè            pin            han            diē           lang           lěi           
ye             sǎng          fo             xiao           miao           xiě           līng          shuang         
dià           píng          yué           áo            huò           àn            luó           rū            
ying           zèng          māi           lǐng          ping           chě           da             bie            
xù            lēng          ào            bǔ            tìng          xuè           ga             de             
@007
zhè           zèn           dóu           miǎo          zhan           qìng          huáng         suò           
shuán         kú            mìn           zhèng         hè            nuǎn          zhu            cài           
è             pāi           dāo           děi           ming           xiàn          qiàn          niè           
zhōu          tǔn           dái           hū            dí            déi           bén           piáo          
liǔ           cáng          miū           cong           wo             dān           hāng          ruō           
bō            dé            dáng          wán           huang          fèn           xiong          piǎn          
hài           pèi           pìn           èr            cū            diú           mó            zhuāng        
zhuó          ně            nǒu           zǎi           zào           kái           nēn           cěn           
gèi           chǎ           cūn           pén           cēng          dìng          huǐ           zēng          
kuán          lá            n              dēng          huì           rún           dié           gǔn           
bing           dǎ            tiao           cāi           fèng          chòu          zhǐ           hang           
hóng          mǐ            kóng          shě           li             tié           zhé           dia            
nu             bò            nǖě          zhēi          ǒu            zun            wāng          qīng          
guàn          xiú           liáng         jiàn          lē            sǔ            bài           nai            
pao            chē           shǎ           là            bíng          děng          chuí          zě            
dang           nǎ            tuán          nìng          ri             ǒ             dōu           tong           
sai            cheng          shuo           xié           zhang          zhān          ca             làng          
chā           dán           shǔ           fā            jiao           bào           déng          ǎn            
kǎi           miào          lēi           hong           wén           gèn           nā            gēng          
zhù           wu             huī           rěng          gǎ            gǎn           nào           mie            
@008
èn            shèng         sái           yè            zhùn          miè           guān          jǐ            
tāng          niǎn          bǐn           tang           zhào          zhuàng        cuī           héi           
sí            bēi           tūn           cēi           guán          pào           xiǔ           shòu          
rong           zhī           fǔ            rou            lùn           sāi           chàn          gāi           
dáo           zuò           méng          miǔ           quǎn          fǎ            tún           zóu           
sǐ            lǒng          shuò          mèng          biáo          xué           wú            tu             
zān           guai           dǐng          liú           gěng          nan            cun            sá            
gong           tōng          rèn           zī            tèi           bú            zhei           luǒ           
kǎo           kǒng          xing           chuāi         ē             lāi           fòu           hù            
shāo          gàng          sǎi           pēn           zhàng         zha            cou            chòng         
tuo            mǒ            wei            liǎ           mōu           sen            hǔ            tái           
měi           shǎn          pòu           lǖè          kuāi          o              wò            yuān          
qià           mai            fōu           ben            nen            shuà          kuǎi          xǐ            
lu             kun            ruǎn          yāng          kài           dòu           sè            éng           
shuāi         yáo           sěng          zhú           páo           e              zhi            hěi           
sheng          chen           jian           jiāo          pèn           piǎo          měn           zhuàn         
ná            tan            jiáo          ka             shuá          yō            xiá           hēng          
ài            yín           rěn           shǒu          dui            tào           tà            bèi           
huǎng         cāo           xiù           bian           zhuō          zhéi          jiǎ           què           
qǔn           hei            chán          nèi           cuǒ           nāi           kuō           mén           
@009
nēi           lǎn           lǎo           bàng          re             pang           tiào          táo           
nao            báo           nī            shē           wàn           ká            zhuài         jún           
shàn          biàn          luán          shún          huàng         qīn           yōu           kuá           
wà            pǐng          ruo            tǎo           zhao           chá           zà            mē            
kuài          pēi           chè           nù            peng           bà            qǐ            zán           
yi             fù            zhā           yǎng          cui            rén           zhuang         mà            
nǒng          qíng          fáng          wǎng          duán          xuan           nén           dāi           
zè            jiū           liao           qiù           chún          fāng          jián          cái           
huō           en             dè            zú            rang           cào           chān          wen            
lāng          zhuān         xuān          má            zuǐ           fū            po             kǎn           
mǐng          piào          mè            zǐ            áng           yù            yān           lāo           
zui            shéng         wū            yǔ            suo            chū           tiàn          dù            
cóng          hùn           lōng          ya             chuang         sùn           zhuí          bù            
na             sōu           mián          wa             rùn           chōu          dá            kūn           
ruǒ           pàng          càn           bǐng          qin            yòu           kei            xu             
nuan           xin            shán          ruò           lào           dūn           tǎng          kéng          
ròu           rōng          zǎo           heng           diǎn          liàn          mou            nì            
huàn          gǒng          kún           kéi           zěng          miú           qǔ            kuáng         
chuai          niǔ           cì            shuí          niāo          hèi           lǖē          nie            
nang           lèi           mēng          zhāng         diè           mèn           cuǎn          fǒ            
@010
dú            ku             shuái         fá            zuo            sha            chēn          fěng          
qué           rao            mang           náo           ér            kuí           ōu            guǎn          
sǔn           shuō          yin            yǐn           néi           zuì           duì           lūn           
guo            nǎn           jīn           chài          sún           bang           hú            sē            
shi            chui           mū            chuan          lie            liǎn          gà            yē            
rè            jià           nāng          zeng           mēi           lòu           qú            hui            
shai           hou            mo             gun            que            rang           duo            yà            
zāi           zhá           xun            pǎ            suó           ti             pī            xiū           
cǎ            ráo           xiǎo          jiang          tiān          yí            āo            cháo          
guò           gán           biǎo          ce             háng          lù            zhǎn          jue            
bìn           wǎ            zhóng         fó            qì            cù            nà            fen            
tóng          cě            niū           xiòng         ge             něng          lěng          gè            
shá           wéng          xú            qu             ding           pǐn           duī           duǒ           
rèng          qiāo          nún           gǔ            nāo           yáng          yún           tíng          
leng           bián          zhì           huān          jiáng         cá            néng          gāng          
hán           duan           guá           lī            pīn           báng          ěn            qiǎo          
suan           dián          bāi           lai            fa             sáng          zěn           mǎo           
diào          yuè           kěng          géng          diān          shā           hén           ān            
tú            hai            biào          gǎng          chai           hāo           kuǎ           zhuǎng        
bǎo           tiáo          lán           bèng          shǎo          bié           yuan           qín           
@011
chāi          yò            béng          dǒng          man            duān          cen            bǎn           
kóu           sáo           zhāo          zéi           shǎng         diao           nú            tiè           
jǐng          nǎi           shén          quán          xǔ            zhuāi         shuó          bao            
nòu           tun            dèn           qie            niàng         can            sòu           gáng          
hàn           luan           pá            ao             beng           nòng          tě            fǒu           
lou            yun            guā           chěng         bēng          tù            xuǎn          nóng          
fēn           niao           tuī           pān           lan            fóu           dǒu           shěng         
tuǐ           xuē           pǎng          piě           jiē           wēng          kén           bín           
wěn           tuān          ne             bá            chong          yǎn           sōng          qùn           
kuan           ma             zhuáng        hāi           shuan          bin            dùn           kū            
guó           pěn           kèi           zhuá          di             lǐn           shān          jù            
qiào          xiān          sén           ǎo            qiáo          mìng          gen            zhuā          
gang           reng           náng          huo            xīng          suán          a              pāng          
gong           diǎ           sāo           kàn           ren            liu            bǐ            jiǒng         
sán           zou            zǔ            péng          zéng          jiān          chén          sào           
lóng          zuó           dōng          gē            chóng         mān           něn           san            
hún           lā            zuán          kán           zàng          rāng          hàng          mīn           
gū            pīng          zóng          tuó           si             fú            nou            bā            
hà            juàn          nàn           nìn           ò             běn           cao            bǎ            
seng           zei            guǎi          chuàng        gūn           réng          cei            hǎng          
@012
miān          nǎng          ze             nū            léi           chuì          bāo           féng          
qiu            pai            shēng         zūn           dēi           chuǐ          luàn          zuān          
zai            cuí           yāo           sǒng          rǎng          fan            huài          bǎ            
góu           cǎi           nei            yū            nǐng          lié           kǔn           kōng          
zhai           diá           biè           shuài         kǒu           pì            à             yì            
duǎn          xǐng          tuì           yú            kuǎn          ruan           bèn           suàn          
zhún          rě            jiǔ           ruī           shei           se             run            zhéng         
sòng          zháng         máng          mǔ            ban            fò            guǎ           yǐ            
dun            chou           pōu           piān          kǎ            ēng           jú            kěn           
tēng          weng           lǔn           dài           qiǒng         shuān         qié           mié           
gǒu           káo           rāo           chuàn         mí            hē            zhě           sé            
pài           hé            pèng          tēi           cōu           huá           nuān          cē            
zhóu          liè           yǎo           yàn           zhuī          ǎi            lí            něi           
rǒu           tang           pái           ké            yuě           kua            jiǎo          tì            
rǔn           cí            lóu           xùn           sèn           pa             hái           mě            
téng          xiǎng         zhuǎn         dǎng          liā           zāng          xuàn          shào          
zhuà          hao            mǒu           guāi          kěi           yuàn          chūn          quě           
zái           lìng          xian           lú            biāo          shǎi          kuàng         pié           
chōng         pou            lun            bān           yuē           lei            diáo          guǒ           
xiē           dǐ            nun            xiào          suí           rān           lián          kuī           
@013
xí            jin            shuáng        tuǎn          deng           cén           pìng          pāo           
sèng          hóu           mā            bū            niù           shang          teng           yong           
shuǎn         fěn           ròng          jí            zhǎi          fǎn           shī           qiǎn          
pǒ            tuǒ           róng          gǎo           huái          zǒu           mǐn           zen            
dan            féi           záo           jiōng         zòng          nian           hèn           cǎn           
shou           miù           cu             gǎi           xuě           mu             dao            céi           
rēn           yòng          sun            gě            mán           qiang          há            miǎn          
ruí           xì            zhǔ           huó           óu            sā            huǒ           cǒu           
kào           zhun           zhuán         pei            cāng          biě           geng           zao            
hǒng          shè           né            yue            huǎi          yé            shuàng        tai            
hòng          kuò           tàn           men            zhòu          suì           pǎi           chàng         
wān           chú           yo             wài           yǎ            liāo          jìn           shuǎng        
shūn          xìn           niú           gào           me             nuàn          ruàn          chǎo          
xiu            ruǐ           zhuan          bó            xiā           suān          cang           cèn           
nuō           còng          qiong          pǎo           
